2024-08-13 10:17:00,17.6,17.6745,167727104,172521,31364575
2024-08-13 10:17:06,3.2,18.9387,179724288,251656,43508491
2024-08-13 10:17:11,3.1,18.9918,180228096,251656,43508491
2024-08-13 10:17:16,0,19.019,180486144,251746,43508567
2024-08-13 10:17:21,3,19.0734,181002240,251874,43508705
2024-08-13 10:17:26,0,19.0734,181002240,252012,43508705
2024-08-13 10:17:31,3,19.0993,181248000,252102,43508781
2024-08-13 10:17:37,0,19.0993,181248000,252102,43508781
2024-08-13 10:17:42,3.2,19.0993,181248000,252102,43508781
2024-08-13 10:17:47,6,19.1537,181764096,252552,43509161
2024-08-13 10:17:52,0,19.1537,181764096,252636,43509217
2024-08-13 10:17:57,3.1,19.1537,181764096,252636,43509217
2024-08-13 10:18:03,80.6,27.2574,258666496,415845,43613575
2024-08-13 10:18:08,72.4,27.2729,258813952,637048,43710125
2024-08-13 10:18:13,0,24.5382,232861696,838254,43899366
2024-08-13 10:18:18,0,24.6197,233635840,838344,43899442
2024-08-13 10:18:24,3.2,24.7527,234897408,840578,43901502
2024-08-13 10:18:29,0,24.7889,235241472,879364,44504535
2024-08-13 10:18:34,3,24.7889,235241472,879364,44504535
2024-08-13 10:18:39,68.7,24.7889,235241472,882685,44506264
2024-08-13 10:18:44,72.7,27.3316,259371008,1132822,44619816
2024-08-13 10:18:50,0,17.1181,162447360,1230852,44670149
2024-08-13 10:18:55,3.2,17.2735,163921920,1232955,44671809
